Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Document Type,Publication Stage,Access Type,Source,EID
"Appalasamy J.R., Joseph J.P., Ramaiah S.S., Quek K.F., Zain A.Z., Tha K.K.",56398436500;55745532600;55901097400;7004880425;56770955700;57202332690;,An intervention to promote medication understanding and use self-efficacy: Design of video narratives for aging patients at risk of recurrent stroke,2019,Journal of Medical Internet Research,21,3, e11539,,,,,10.2196/11539,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067308632&doi=10.2196%2f11539&partnerID=40&md5=8e5c6e9f999556707f28a985393d0bd6,"Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor, 47500, Malaysia; Department of Neurology, Hospital Kuala Lumpur, Ministry of Health, Kuala Lumpur, Malaysia; Medical Department, Subang Jaya Medical Center, Sunway, Malaysia","Appalasamy, J.R., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor, 47500, Malaysia; Joseph, J.P., Department of Neurology, Hospital Kuala Lumpur, Ministry of Health, Kuala Lumpur, Malaysia; Ramaiah, S.S., Medical Department, Subang Jaya Medical Center, Sunway, Malaysia; Quek, K.F., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor, 47500, Malaysia; Zain, A.Z., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor, 47500, Malaysia; Tha, K.K., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor, 47500, Malaysia",,,Journal of Medical Internet Research,,,,,14388871,,,,Article,Final,Open Access,Scopus,2-s2.0-85067308632
"Anyanwu G.O., Qamar H.M.U.D., Iqbal J., Ejaz S.A., Onyeneke E.C., Khan S.U., Rauf K., Rahman N.-U.",56955309500;57209669583;10640693200;55521133400;6506298536;57190002793;6507138248;57208642217;,Ethylacetate fraction of anthocleista vogelii planch demonstrates antiobesity activities in preclinical models,2019,Tropical Journal of Pharmaceutical Research,18,3,,547,554,,,10.4314/tjpr.v18i3.15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065428926&doi=10.4314%2ftjpr.v18i3.15&partnerID=40&md5=1362925f64cf186f43b53846550a46fe,"Department of Biochemistry, Bingham University, Karu, Nasarawa State, Nigeria; Department of Pharmacy, Malaysia; Centre for Advanced Drug Research, COMSATS University Islamabad, Abbottabad Campus, Abbottabad, KPK, Pakistan; Department of Biochemistry, University of Benin, Benin City, Nigeria; School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia","Anyanwu, G.O., Department of Biochemistry, Bingham University, Karu, Nasarawa State, Nigeria, Department of Pharmacy, Malaysia; Qamar, H.M.U.D., Department of Pharmacy, Malaysia; Iqbal, J., Centre for Advanced Drug Research, COMSATS University Islamabad, Abbottabad Campus, Abbottabad, KPK, Pakistan; Ejaz, S.A., Centre for Advanced Drug Research, COMSATS University Islamabad, Abbottabad Campus, Abbottabad, KPK, Pakistan; Onyeneke, E.C., Department of Biochemistry, University of Benin, Benin City, Nigeria; Khan, S.U., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Rauf, K., Department of Pharmacy, Malaysia; Rahman, N.-U., Department of Pharmacy, Malaysia",,,University of Benin,,,,,15965996,,,,Article,Final,,Scopus,2-s2.0-85065428926
"Seebaluck-Sandoram R., Lall N., Fibrich B., Blom van Staden A., Saleem H., Mahomoodally M.F.",57193731800;56359513200;57193732693;57193730675;56735957200;9537009000;,"Antimicrobial, antioxidant and cytotoxic evaluation of two underutilised food plants: Averrhoa bilimbi L. (Oxalidaceae) and Phyllanthus acidus L. Skeels (Phyllanthaceae)",2019,Biocatalysis and Agricultural Biotechnology,18,,100998,,,,,10.1016/j.bcab.2019.01.036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061347899&doi=10.1016%2fj.bcab.2019.01.036&partnerID=40&md5=5062aa6e616f4fda56dabb1f4e809678,"Department of Health Sciences, Faculty of Science, University of Mauritius, Réduit, Mauritius; Plant Sciences Complex, Office 3-39, Medicinal Plant Science (Department of Plant and Soil Sciences), University of Pretoria, Pretoria, 0002, South Africa; Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, Pakistan; School of Pharmacy, Monash University, Jalan Lagoon Selatan, 47500 Bandar Sunway, Darul EhsanSelangor, Malaysia","Seebaluck-Sandoram, R., Department of Health Sciences, Faculty of Science, University of Mauritius, Réduit, Mauritius; Lall, N., Plant Sciences Complex, Office 3-39, Medicinal Plant Science (Department of Plant and Soil Sciences), University of Pretoria, Pretoria, 0002, South Africa; Fibrich, B., Plant Sciences Complex, Office 3-39, Medicinal Plant Science (Department of Plant and Soil Sciences), University of Pretoria, Pretoria, 0002, South Africa; Blom van Staden, A., Plant Sciences Complex, Office 3-39, Medicinal Plant Science (Department of Plant and Soil Sciences), University of Pretoria, Pretoria, 0002, South Africa; Saleem, H., Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, Pakistan, School of Pharmacy, Monash University, Jalan Lagoon Selatan, 47500 Bandar Sunway, Darul EhsanSelangor, Malaysia; Mahomoodally, M.F., Department of Health Sciences, Faculty of Science, University of Mauritius, Réduit, Mauritius",,,Elsevier Ltd,,,,,18788181,,,,Article,Final,,Scopus,2-s2.0-85061347899
"Foo C.Y., Reidpath D.D., Sivasampu S.",56810821700;36004414800;56500696300;,The Association Between Hospital Characteristics and Nonresponse in an Organization Survey: An Analysis of the National Healthcare Establishment and Workforce Survey in Malaysia,2019,Evaluation and the Health Professions,42,1,,3,23,,,10.1177/0163278717713569,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061188985&doi=10.1177%2f0163278717713569&partnerID=40&md5=511ca2bfdc6e6368df9fa6791d3e4003,"Healthcare Statistics Unit, National Clinical Research Centre, Kuala Lumpur, Malaysia; Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Selangor, Malaysia; School of Population Health, Curtin University, Perth, Australia; Molecular, Genetic and Population Health Sciences, University of Edinburgh, Edinburgh, United Kingdom","Foo, C.Y., Healthcare Statistics Unit, National Clinical Research Centre, Kuala Lumpur, Malaysia, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Selangor, Malaysia; Reidpath, D.D., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Selangor, Malaysia, School of Population Health, Curtin University, Perth, Australia, Molecular, Genetic and Population Health Sciences, University of Edinburgh, Edinburgh, United Kingdom; Sivasampu, S., Healthcare Statistics Unit, National Clinical Research Centre, Kuala Lumpur, Malaysia",,,SAGE Publications Inc.,,,,,1632787,,EHPRD,,Article,Final,,Scopus,2-s2.0-85061188985
"Namazi H., Daneshi A., Shirzadian T., Azarnoush H., Jafari S.",55308641800;57201947870;55793568700;35085758700;55196116900;,Information-Based Analysis of the Relation Between Visual Stimuli and Human Eye Movements,2019,Fluctuation and Noise Letters,18,1,1950010,,,,8,10.1142/S021947751950010X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058803654&doi=10.1142%2fS021947751950010X&partnerID=40&md5=d87999fb3431e44547e3d30a082ac215,"School of Engineering, Monash University, Selangor, Malaysia; Biomedical Engineering Department, Amirkabir University of Technology, Tehran, 15875-4413, Iran; Department of Biotechnology, Faculty of New Sciences and Technologies, Semnan University, Semnan, Iran; Kermanshah University of Medical Sciences, Kermanshah, Iran","Namazi, H., School of Engineering, Monash University, Selangor, Malaysia; Daneshi, A., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, 15875-4413, Iran; Shirzadian, T., Department of Biotechnology, Faculty of New Sciences and Technologies, Semnan University, Semnan, Iran, Kermanshah University of Medical Sciences, Kermanshah, Iran; Azarnoush, H., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, 15875-4413, Iran; Jafari, S., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, 15875-4413, Iran",,,World Scientific Publishing Co. Pte Ltd,,,,,2194775,,,,Article,Final,,Scopus,2-s2.0-85058803654
"Foo S.C., Yusoff F.M., Imam M.U., Foo J.B., Ismail N., Azmi N.H., Tor Y.S., Khong N.M.H., Ismail M.",56779646200;6601973361;55322395500;57007915100;57193512939;6508112775;56266744100;54780126000;57191087465;,Increased fucoxanthin in Chaetoceros calcitrans extract exacerbates apoptosis in liver cancer cells via multiple targeted cellular pathways,2019,Biotechnology Reports,21,, e00296,,,,1,10.1016/j.btre.2018.e00296,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058232861&doi=10.1016%2fj.btre.2018.e00296&partnerID=40&md5=962cb8369758b623abf2003df717e491,"Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia; School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; The International Institute of Aquaculture and Aquatic Science, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  43400, UPM, Malaysia; Department of Aquaculture, Faculty of Agriculture, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia; Department of Cell and Molecular Biology, Faculty of Biotechnology & Biomolecular Sciences, Universiti Putra Malaysia, Serdang, Selangor  UPM43400, Malaysia; Department of Medical Biochemistry, College of Health Sciences, Usmanu Danfodio University, Sokoto, Nigeria; School of Pharmacy, Faculty of Health & Medical Sciences, Taylor's University, No. 1 Jalan Taylor's, Subang Jaya, Selangor Darul Ehsan  47500, Malaysia; School of Biosciences, Faculty of Health & Medical Sciences, Taylor's University, No. 1 Jalan Taylor's, Subang Jaya, Selangor Darul Ehsan  47500, Malaysia","Foo, S.C., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia, School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Yusoff, F.M., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia, The International Institute of Aquaculture and Aquatic Science, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  43400, UPM, Malaysia, Department of Aquaculture, Faculty of Agriculture, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia; Imam, M.U., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia, Department of Medical Biochemistry, College of Health Sciences, Usmanu Danfodio University, Sokoto, Nigeria; Foo, J.B., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia, School of Pharmacy, Faculty of Health & Medical Sciences, Taylor's University, No. 1 Jalan Taylor's, Subang Jaya, Selangor Darul Ehsan  47500, Malaysia; Ismail, N., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia; Azmi, N.H., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia, Department of Cell and Molecular Biology, Faculty of Biotechnology & Biomolecular Sciences, Universiti Putra Malaysia, Serdang, Selangor  UPM43400, Malaysia; Tor, Y.S., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia, School of Biosciences, Faculty of Health & Medical Sciences, Taylor's University, No. 1 Jalan Taylor's, Subang Jaya, Selangor Darul Ehsan  47500, Malaysia; Khong, N.M.H., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia; Ismail, M., Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  UPM43400, Malaysia",,,Elsevier B.V.,,,,,2215017X,,,,Article,Final,Open Access,Scopus,2-s2.0-85058232861
"Ulubaşoğlu M.A., Rahman M.H., Önder Y.K., Chen Y., Rajabifard A.",6506957038;57131792000;57192276331;57207351079;6603307682;,"Floods, Bushfires and Sectoral Economic Output in Australia, 1978–2014",2019,Economic Record,95,308,,58,80,,,10.1111/1475-4932.12446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056620534&doi=10.1111%2f1475-4932.12446&partnerID=40&md5=38fd3ef824a87ced6c41bcb2411a7431,"Department of Economics, Deakin Business School, Deakin University, Burwood, VIC, Australia; Bushfire and Natural Hazards Cooperative Research Centre, Melbourne, VIC, Australia; School of Business, Monash University, Subang Jaya Selangor, Malaysia; Ankara, Turkey; Centre for Disaster Management and Public Safety, The University of Melbourne, Melbourne, VIC, Australia","Ulubaşoğlu, M.A., Department of Economics, Deakin Business School, Deakin University, Burwood, VIC, Australia, Bushfire and Natural Hazards Cooperative Research Centre, Melbourne, VIC, Australia; Rahman, M.H., School of Business, Monash University, Subang Jaya Selangor, Malaysia; Önder, Y.K., Ankara, Turkey; Chen, Y., Centre for Disaster Management and Public Safety, The University of Melbourne, Melbourne, VIC, Australia; Rajabifard, A., Centre for Disaster Management and Public Safety, The University of Melbourne, Melbourne, VIC, Australia",,,Blackwell Publishing Ltd,,,,,130249,,,,Article,Final,,Scopus,2-s2.0-85056620534
"Nagendrababu V., Pulikkotil S.J., Veettil S.K., Jinatongthai P., Gutmann J.L.",56115799200;55575369800;55368087600;56197055200;56375550900;,Efficacy of Biodentine and Mineral Trioxide Aggregate in Primary Molar Pulpotomies—A Systematic Review and Meta-Analysis With Trial Sequential Analysis of Randomized Clinical Trials,2019,Journal of Evidence-Based Dental Practice,19,1,,17,27,,,10.1016/j.jebdp.2018.05.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048993671&doi=10.1016%2fj.jebdp.2018.05.002&partnerID=40&md5=8269510506c542a186857378a31185ba,"Division of Clinical Dentistry, School of Dentistry, International Medical University, Kuala Lumpur, Malaysia; Department of Pharmacy Practice, School of Pharmacy, International Medical University, Kuala Lumpur, Malaysia; Pharmacy Practice Division, Faculty of Pharmaceutical Sciences, Ubon Ratchathani University, Ubon Ratchathani, Thailand; School of Pharmacy, Monash University Malaysia, Selangor, Malaysia; Department of Restorative Sciences/Endodontics, Texas A&M University College of Dentistry, Dallas, TX, United States","Nagendrababu, V., Division of Clinical Dentistry, School of Dentistry, International Medical University, Kuala Lumpur, Malaysia; Pulikkotil, S.J., Division of Clinical Dentistry, School of Dentistry, International Medical University, Kuala Lumpur, Malaysia; Veettil, S.K., Department of Pharmacy Practice, School of Pharmacy, International Medical University, Kuala Lumpur, Malaysia; Jinatongthai, P., Pharmacy Practice Division, Faculty of Pharmaceutical Sciences, Ubon Ratchathani University, Ubon Ratchathani, Thailand, School of Pharmacy, Monash University Malaysia, Selangor, Malaysia; Gutmann, J.L., Department of Restorative Sciences/Endodontics, Texas A&M University College of Dentistry, Dallas, TX, United States",,,Mosby Inc.,,,,,15323382,,,30926099,Review,Final,,Scopus,2-s2.0-85048993671
"Liew J.K., Cheong X.P., Law L., Teo W.H., Eng S.S., Ngim C.F., Ramadas A.",57208705869;57208702429;57208702100;57208706915;56107084200;53863701900;35076546400;,Prevalence and factors associated with hypertension among adolescents in Malaysia,2019,International Medical Journal Malaysia,18,1,,55,64,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065558761&partnerID=40&md5=f285f899049c13536ef620a6a30db37b,"Hospital Umum Sarawak, Jalan Hospital, Kuching, Sarawak, 93586, Malaysia; Hospital Sultanah Aminah, Jalan Persiaran Abu Bakar Sultan, Johor Bahru, Johor, 80100, Malaysia; Hospital Seberang Jaya, Jalan Tun Hussein Onn, Seberang Jaya, Pulau Pinang, 13700, Malaysia; Hospital Pulau Pinang, Jalan Residensi, George Town, Pulau Pinang, 10990, Malaysia; Jeffrey Cheah School of Medicine and Health Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, 47500, Malaysia","Liew, J.K., Hospital Umum Sarawak, Jalan Hospital, Kuching, Sarawak, 93586, Malaysia, Jeffrey Cheah School of Medicine and Health Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, 47500, Malaysia; Cheong, X.P., Hospital Sultanah Aminah, Jalan Persiaran Abu Bakar Sultan, Johor Bahru, Johor, 80100, Malaysia, Jeffrey Cheah School of Medicine and Health Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, 47500, Malaysia; Law, L., Hospital Umum Sarawak, Jalan Hospital, Kuching, Sarawak, 93586, Malaysia, Jeffrey Cheah School of Medicine and Health Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, 47500, Malaysia; Teo, W.H., Hospital Seberang Jaya, Jalan Tun Hussein Onn, Seberang Jaya, Pulau Pinang, 13700, Malaysia, Jeffrey Cheah School of Medicine and Health Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, 47500, Malaysia; Eng, S.S., Hospital Pulau Pinang, Jalan Residensi, George Town, Pulau Pinang, 10990, Malaysia, Jeffrey Cheah School of Medicine and Health Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, 47500, Malaysia; Ngim, C.F., Jeffrey Cheah School of Medicine and Health Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, 47500, Malaysia; Ramadas, A., Jeffrey Cheah School of Medicine and Health Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, 47500, Malaysia",,,International Islamic University Malaysia,,,,,18234631,,,,Article,Final,,Scopus,2-s2.0-85065558761
"Mahmood W., Saleem H., Shahid W., Ahmad I., Zengin G., Mahomoodally M.F., Ashraf M., Ahemad N.",57189760765;56735957200;57206727989;56366368100;8411629800;9537009000;55544464800;57201095217;,"Clinical enzymes inhibitory activities, antioxidant potential and phytochemical profile of Vernonia oligocephala (DC.) Sch.Bip. ex Walp roots",2019,Biocatalysis and Agricultural Biotechnology,18,,101039,,,,,10.1016/j.bcab.2019.101039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061933609&doi=10.1016%2fj.bcab.2019.101039&partnerID=40&md5=aeefad6d8aabdf55b358c464a27ac8d1,"Department of Pharmacy, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, 54000, Pakistan; School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Department of Chemistry, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Department of Biology, Science Faculty, Selcuk University, Campus, Konya, 42250, Turkey; Department of Health Sciences, Faculty of Science, University of Mauritius, 230 Réduit, Mauritius","Mahmood, W., Department of Pharmacy, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Saleem, H., Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, 54000, Pakistan, School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Shahid, W., Department of Chemistry, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Ahmad, I., Department of Pharmacy, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Zengin, G., Department of Biology, Science Faculty, Selcuk University, Campus, Konya, 42250, Turkey; Mahomoodally, M.F., Department of Health Sciences, Faculty of Science, University of Mauritius, 230 Réduit, Mauritius; Ashraf, M., Department of Chemistry, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Ahemad, N., School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia",,,Elsevier Ltd,,,,,18788181,,,,Article,Final,,Scopus,2-s2.0-85061933609
"Shafie A.A., Tan Y.P., Liau S.Y., Yang S.L., Liew H.B., Chaiyakunapruk N.",26423357100;57191578837;57205104965;57205674927;12243273900;14015058100;,"Registry based analysis of cost-of-illness study among stage C heart failure patients at Hospital Queen Elizabeth II, Sabah, Malaysia",2019,Health Policy and Technology,8,1,,51,60,,,10.1016/j.hlpt.2019.01.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061044058&doi=10.1016%2fj.hlpt.2019.01.002&partnerID=40&md5=70a3d6ef5c3bb1a34c907588970f8763,"Discipline of Social Administrative Pharmacy, School of Pharmaceutical Sciences, Universiti Sains Malaysia, Minden, Penang  11800, Malaysia; Clinical Research Centre, Hospital Queen Elizabeth II, Kota Kinabalu, Sabah, Malaysia; Cardiology Department, Hospital Queen Elizabeth II, Kota Kinabalu, Sabah, Malaysia; School of Pharmacy, Monash University Malaysia, Subang Jaya, Selangor, Malaysia; Center of Pharmaceutical Outcomes Research (CPOR), Department of Pharmacy Practice, Faculty of Pharmaceutical Sciences, Naresuan University, Phitsanulok, Thailand; Asian Centre for Evidence Synthesis in Population, Implementation and Clinical Outcomes (PICO), Health and Well-being Cluster, Monash University Malaysia, Global Asia in the 21st Century (GA21) Platform, Bandar Sunway, Selangor, Malaysia; School of Pharmacy, University of Wisconsin, Madison, United States","Shafie, A.A., Discipline of Social Administrative Pharmacy, School of Pharmaceutical Sciences, Universiti Sains Malaysia, Minden, Penang  11800, Malaysia; Tan, Y.P., Discipline of Social Administrative Pharmacy, School of Pharmaceutical Sciences, Universiti Sains Malaysia, Minden, Penang  11800, Malaysia; Liau, S.Y., Clinical Research Centre, Hospital Queen Elizabeth II, Kota Kinabalu, Sabah, Malaysia; Yang, S.L., Clinical Research Centre, Hospital Queen Elizabeth II, Kota Kinabalu, Sabah, Malaysia; Liew, H.B., Cardiology Department, Hospital Queen Elizabeth II, Kota Kinabalu, Sabah, Malaysia; Chaiyakunapruk, N., School of Pharmacy, Monash University Malaysia, Subang Jaya, Selangor, Malaysia, Center of Pharmaceutical Outcomes Research (CPOR), Department of Pharmacy Practice, Faculty of Pharmaceutical Sciences, Naresuan University, Phitsanulok, Thailand, Asian Centre for Evidence Synthesis in Population, Implementation and Clinical Outcomes (PICO), Health and Well-being Cluster, Monash University Malaysia, Global Asia in the 21st Century (GA21) Platform, Bandar Sunway, Selangor, Malaysia, School of Pharmacy, University of Wisconsin, Madison, United States",,,Elsevier B.V.,,,,,22118837,,,,Article,Final,,Scopus,2-s2.0-85061044058
"New E.K., Wu T.Y., Tien Loong Lee C.B., Poon Z.Y., Loow Y.-L., Wei Foo L.Y., Procentese A., Siow L.F., Teoh W.H., Nik Daud N.N., Jahim J.M., Mohammad A.W.",57194610708;57192154872;57205608202;57205515234;56884683400;57205513135;55661639900;23006681000;55504522500;37028749200;35261886900;57195374469;,Potential use of pure and diluted choline chloride-based deep eutectic solvent in delignification of oil palm fronds,2019,Process Safety and Environmental Protection,,,,190,198,,2,10.1016/j.psep.2018.11.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060346131&doi=10.1016%2fj.psep.2018.11.015&partnerID=40&md5=8cb9ec484849bbff517761fb8fd21366,"Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Monash-Industry Palm Oil Education and Research Platform (MIPO), School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Undergraduate Research Opportunities Program (UROP), School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Istituto di Ricerche sulla Combustione – Consiglio Nazionale delle Ricerche, P.le V. Tecchio 80, Napoli, Italy; School of Science, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Department of Chemical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Department of Civil Engineering, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  43400, Malaysia; Department of Chemical and Process Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, 43600 UKM BangiSelangor Darul Ehsan, Malaysia","New, E.K., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Wu, T.Y., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Monash-Industry Palm Oil Education and Research Platform (MIPO), School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Tien Loong Lee, C.B., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Poon, Z.Y., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Loow, Y.-L., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Wei Foo, L.Y., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Undergraduate Research Opportunities Program (UROP), School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Procentese, A., Istituto di Ricerche sulla Combustione – Consiglio Nazionale delle Ricerche, P.le V. Tecchio 80, Napoli, Italy; Siow, L.F., School of Science, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Teoh, W.H., Department of Chemical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Nik Daud, N.N., Department of Civil Engineering, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan  43400, Malaysia; Jahim, J.M., Department of Chemical and Process Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, 43600 UKM BangiSelangor Darul Ehsan, Malaysia; Mohammad, A.W., Department of Chemical and Process Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, 43600 UKM BangiSelangor Darul Ehsan, Malaysia",,,Institution of Chemical Engineers,,,,,9575820,,,,Article,Final,,Scopus,2-s2.0-85060346131
