Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Kua K.P., Saw P.S., Lee S.W.H.","57191430415;56708597200;35201185800;","Attitudes towards deprescribing among multi-ethnic community-dwelling older patients and caregivers in Malaysia: a cross-sectional questionnaire study",2019,"International Journal of Clinical Pharmacy","41","3",,"793","803",,1,"10.1007/s11096-019-00829-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064939712&doi=10.1007%2fs11096-019-00829-z&partnerID=40&md5=9f4146ad1cb682495a848376f6f784fb","Department of Pharmacy, Petaling District Health Office, Ministry of Health, Petaling Jaya, Selangor  47301, Malaysia; School of Pharmacy, Monash University, Building 2, Level 5, Room 38, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Gerontechnology Laboratory, Global Asia, 21st Century (GA21) Platform, Monash University, Bandar Sunway, Selangor  47500, Malaysia; School of Pharmacy, Taylor’s University Lakeside Campus, Jalan Taylor’s, Subang Jaya, Selangor  47500, Malaysia","Kua, K.P., Department of Pharmacy, Petaling District Health Office, Ministry of Health, Petaling Jaya, Selangor  47301, Malaysia; Saw, P.S., School of Pharmacy, Monash University, Building 2, Level 5, Room 38, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Lee, S.W.H., School of Pharmacy, Monash University, Building 2, Level 5, Room 38, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia, Gerontechnology Laboratory, Global Asia, 21st Century (GA21) Platform, Monash University, Bandar Sunway, Selangor  47500, Malaysia, School of Pharmacy, Taylor’s University Lakeside Campus, Jalan Taylor’s, Subang Jaya, Selangor  47500, Malaysia",Article,"Final",,Scopus,2-s2.0-85064939712
"Katemake P., Radsamsong A., Dinet É., Heng C.W., Kuang Y.C., Kalavally V., Trémeau A.","8979384600;57208488330;6506427901;57208482874;56240456200;14031684600;6701598631;","Influence of LED-based assistive lighting solutions on the autonomous mobility of low vision people",2019,"Building and Environment","157",,,"172","184",,,"10.1016/j.buildenv.2019.04.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064889205&doi=10.1016%2fj.buildenv.2019.04.026&partnerID=40&md5=89891a8fd11d439b87c988e2b957b5c7","Department of Imaging and Printing Technology, Faculty of Science, Chulalongkorn University, Thailand; Univ Lyon, UJM Saint-Étienne, CNRS, Laboratoire Hubert Curien UMR 5516, France; Department of Electrical and Computer Systems Engineering, Monash University, Malaysia; School of Engineering, Faculty of Science & Engineering, University of Waikato, New Zealand","Katemake, P., Department of Imaging and Printing Technology, Faculty of Science, Chulalongkorn University, Thailand; Radsamsong, A., Department of Imaging and Printing Technology, Faculty of Science, Chulalongkorn University, Thailand; Dinet, É., Univ Lyon, UJM Saint-Étienne, CNRS, Laboratoire Hubert Curien UMR 5516, France; Heng, C.W., Department of Electrical and Computer Systems Engineering, Monash University, Malaysia; Kuang, Y.C., Department of Electrical and Computer Systems Engineering, Monash University, Malaysia, School of Engineering, Faculty of Science & Engineering, University of Waikato, New Zealand; Kalavally, V., Department of Electrical and Computer Systems Engineering, Monash University, Malaysia; Trémeau, A., Univ Lyon, UJM Saint-Étienne, CNRS, Laboratoire Hubert Curien UMR 5516, France",Article,"Final",,Scopus,2-s2.0-85064889205
"Raghunandan M.E., Sriraam A.S., Beng Ti T., Kodikara J.","55757784826;57120167200;57189360136;15033530200;","Effect of palm oil on the basic geotechnical properties of kaolin",2019,"Geomechanics and Engineering","18","2",,"179","188",,,"10.12989/gae.2019.18.2.179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068666454&doi=10.12989%2fgae.2019.18.2.179&partnerID=40&md5=b0181a95aa653602b44a752380a25fc3","Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Department of Civil Engineering, Monash University, Clayton, VIC  3800, Australia; Advanced Engineering Platform, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia","Raghunandan, M.E., Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia, Advanced Engineering Platform, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Sriraam, A.S., Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Beng Ti, T., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia, Advanced Engineering Platform, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Kodikara, J., Department of Civil Engineering, Monash University, Clayton, VIC  3800, Australia",Article,"Final",,Scopus,2-s2.0-85068666454
"Khan G., Khan F.","57014516300;57014131000;","Ascertaining the “Halalness” of restaurants – scale development and validation",2019,"Journal of Islamic Marketing","10","2",,"426","439",,,"10.1108/JIMA-04-2018-0067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058099113&doi=10.1108%2fJIMA-04-2018-0067&partnerID=40&md5=f64471bf26c8404761b0eb55755e4100","Department of Marketing, Monash University Malaysia, Bandar Sunway, Malaysia; Business School, University College Birmingham, Birmingham, United Kingdom","Khan, G., Department of Marketing, Monash University Malaysia, Bandar Sunway, Malaysia; Khan, F., Business School, University College Birmingham, Birmingham, United Kingdom",Article,"Final",,Scopus,2-s2.0-85058099113
"Choo B.K.M., Kundap U.P., Johan Arief M.F.B., Kumari Y., Yap J.L., Wong C.P., Othman I., Shaikh M.F.","57200794775;57192265083;57207583695;57191075226;57207584488;57207576818;7003651966;37034995600;","Effect of newer anti-epileptic drugs (AEDs) on the cognitive status in pentylenetetrazol induced seizures in a zebrafish model",2019,"Progress in Neuro-Psychopharmacology and Biological Psychiatry","92",,,"483","493",,,"10.1016/j.pnpbp.2019.02.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062594743&doi=10.1016%2fj.pnpbp.2019.02.014&partnerID=40&md5=976b26fb6faf9008eee1c27cdac21368","Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; MBBS Young Scholars Program, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; School of Science, Monash University Malaysia, Bandar Sunway, Malaysia; Royal College of Surgeons in Ireland School of Medicine, Perdana University, Kuala Lumpur, Malaysia","Choo, B.K.M., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Kundap, U.P., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Johan Arief, M.F.B., MBBS Young Scholars Program, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Kumari, Y., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Yap, J.L., School of Science, Monash University Malaysia, Bandar Sunway, Malaysia; Wong, C.P., Royal College of Surgeons in Ireland School of Medicine, Perdana University, Kuala Lumpur, Malaysia; Othman, I., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Shaikh, M.F., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia",Article,"Final",,Scopus,2-s2.0-85062594743
"Saleem H., Zengin G., Ahmad I., Lee J.T.B., Htar T.T., Mahomoodally F.M., Naidu R., Ahemad N.","56735957200;8411629800;56366368100;57207911047;6503856325;57193732515;7102091780;57201095217;","Multidirectional insights into the biochemical and toxicological properties of Bougainvillea glabra (Choisy.) aerial parts: A functional approach for bioactive compounds",2019,"Journal of Pharmaceutical and Biomedical Analysis","170",,,"132","138",,,"10.1016/j.jpba.2019.03.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063187859&doi=10.1016%2fj.jpba.2019.03.027&partnerID=40&md5=0dd7be68944c8a2a1ad3ff9577c1fc84","School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, 54000, Pakistan; Department of Biology, Faculty of Science, Selcuk University, Campus/Konya, Turkey; Department of Pharmacy, The Islamia University of Bahawalpur, Pakistan; School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Department of Health Sciences, Faculty of Science, University of Mauritius, Mauritius; Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Tropical Medicine and Biology Multidisciplinary Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Global Asia in The 21st Century (GA21) Multidisciplinary Research Platform, Monash University, Malaysia","Saleem, H., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia, Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, 54000, Pakistan; Zengin, G., Department of Biology, Faculty of Science, Selcuk University, Campus/Konya, Turkey; Ahmad, I., Department of Pharmacy, The Islamia University of Bahawalpur, Pakistan; Lee, J.T.B., School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Htar, T.T., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Mahomoodally, F.M., Department of Health Sciences, Faculty of Science, University of Mauritius, Mauritius; Naidu, R., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Ahemad, N., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia, Tropical Medicine and Biology Multidisciplinary Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia, Global Asia in The 21st Century (GA21) Multidisciplinary Research Platform, Monash University, Malaysia",Article,"Final",,Scopus,2-s2.0-85063187859
"Bhuvan K.C., Heydon S., Norris P.","37160961800;37097205400;7102791741;","Access to and use of medicines in the Annapurna region of Western Nepal and possible impacting factors",2019,"Journal of Pharmaceutical Policy and Practice","12","1", 11,"","",,,"10.1186/s40545-019-0172-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066823376&doi=10.1186%2fs40545-019-0172-3&partnerID=40&md5=b57565536f2613d252273ac6b5234a94","School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Subang Jaya, Selangor, 47500, Malaysia; School of Pharmacy, University of Otago, Dunedin, New Zealand","Bhuvan, K.C., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Subang Jaya, Selangor, 47500, Malaysia; Heydon, S., School of Pharmacy, University of Otago, Dunedin, New Zealand; Norris, P., School of Pharmacy, University of Otago, Dunedin, New Zealand",Article,"Final",Open Access,Scopus,2-s2.0-85066823376
"Tan J.W., Zahidi N.F.W., Kow A.S.F., Soo K.-M., Shaari K., Israf D.A., Chee H.-Y., Tham C.L.","55508511400;57209332143;57203680952;57189443022;6602349732;6603879550;7004224161;57194376955;","Mast cell stabilizing effect of a geranyl acetophenone in dengue virus infection using in vitro model of DENV3-induced RBL-2H3 cells",2019,"Bioscience Reports","39","6", BSR20181273,"","",,,"10.1042/BSR20181273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067370826&doi=10.1042%2fBSR20181273&partnerID=40&md5=3d723c5bcdd219035a9d482e2d5404ec","Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Department of Medical Microbiology and Parasitology, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Department of Chemistry, Faculty of Science, Universiti Putra Malaysia, Serdang, 43400, Malaysia; School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor, 47500, Malaysia","Tan, J.W., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia, School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor, 47500, Malaysia; Zahidi, N.F.W., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Kow, A.S.F., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Soo, K.-M., Department of Medical Microbiology and Parasitology, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Shaari, K., Department of Chemistry, Faculty of Science, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Israf, D.A., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Chee, H.-Y., Department of Medical Microbiology and Parasitology, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Tham, C.L., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia",Article,"Final",Open Access,Scopus,2-s2.0-85067370826
"Ng B.T., Hung Y.M., Tan M.K.","57193099299;57209912098;16302325800;","Vibration isolation via Leidenfrost droplets",2019,"Journal of Micromechanics and Microengineering","29","8", 085003,"","",,,"10.1088/1361-6439/ab20bb","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069041185&doi=10.1088%2f1361-6439%2fab20bb&partnerID=40&md5=ed8cbee9dac430d34eb3dca729e3c745","School of Engineering, Monash University Malaysia, 47500 Bandar Sunway, Selangor, Malaysia","Ng, B.T., School of Engineering, Monash University Malaysia, 47500 Bandar Sunway, Selangor, Malaysia; Hung, Y.M., School of Engineering, Monash University Malaysia, 47500 Bandar Sunway, Selangor, Malaysia; Tan, M.K., School of Engineering, Monash University Malaysia, 47500 Bandar Sunway, Selangor, Malaysia",Article,"Final",,Scopus,2-s2.0-85069041185
"Low B.","7101871066;","The intersection of legitimacy needs, actions and reform policy: the case of private higher education",2019,"Journal of Business and Industrial Marketing","34","5",,"1041","1053",,,"10.1108/JBIM-10-2018-0314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066993273&doi=10.1108%2fJBIM-10-2018-0314&partnerID=40&md5=37b5b3048f99b97be5b08f9fd10344b8","Department of Marketing, Monash University Malaysia, Bandar Sunway, Malaysia","Low, B., Department of Marketing, Monash University Malaysia, Bandar Sunway, Malaysia",Article,"Final",,Scopus,2-s2.0-85066993273
"Cheah C.W.","57209251313;","The social-political roles of NGOs: a study on a triadic business network",2019,"Journal of Business and Industrial Marketing","34","5",,"994","1004",,,"10.1108/JBIM-05-2018-0146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066974480&doi=10.1108%2fJBIM-05-2018-0146&partnerID=40&md5=24e2edcab5820d9c47771773f4ee7947","Marketing Department, Monash University, Bandar Sunway, Malaysia","Cheah, C.W., Marketing Department, Monash University, Bandar Sunway, Malaysia",Article,"Final",,Scopus,2-s2.0-85066974480
"Shiau W.-L., Sarstedt M., Hair J.F.","6602670816;35957036000;16230161100;","Internet research using partial least squares structural equation modeling (PLS-SEM)",2019,"Internet Research","29","3",,"398","406",,1,"10.1108/IntR-10-2018-0447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064147941&doi=10.1108%2fIntR-10-2018-0447&partnerID=40&md5=748ffa32e116ad8ba855df49b118a3ca","School of Management, Zhejiang University of Technology, Hangzhou, China; Otto von Guericke Universitat Magdeburg, Magdeburg, Germany; Monash University Malaysia, Subang Jaya, Malaysia; University of South Alabama, Mobile, AL, United States","Shiau, W.-L., School of Management, Zhejiang University of Technology, Hangzhou, China; Sarstedt, M., Otto von Guericke Universitat Magdeburg, Magdeburg, Germany, Monash University Malaysia, Subang Jaya, Malaysia; Hair, J.F., University of South Alabama, Mobile, AL, United States",Editorial,"Final",,Scopus,2-s2.0-85064147941
"Franke G., Sarstedt M.","7101732371;35957036000;","Heuristics versus statistics in discriminant validity testing: a comparison of four procedures",2019,"Internet Research","29","3",,"430","447",,12,"10.1108/IntR-12-2017-0515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060595942&doi=10.1108%2fIntR-12-2017-0515&partnerID=40&md5=019560d013be6a9a043a2c695f5347e4","Department of Marketing, Culverhouse College of Business, University of Alabama, Tuscaloosa, AL, United States; Otto von Guericke Universitat Magdeburg, Magdeburg, Germany; School of Business and Global Asia in the 21st Century Research Platform, Monash University Malaysia, Subang Jaya, Malaysia","Franke, G., Department of Marketing, Culverhouse College of Business, University of Alabama, Tuscaloosa, AL, United States; Sarstedt, M., Otto von Guericke Universitat Magdeburg, Magdeburg, Germany, School of Business and Global Asia in the 21st Century Research Platform, Monash University Malaysia, Subang Jaya, Malaysia",Article,"Final",,Scopus,2-s2.0-85060595942
"Khan G.F., Sarstedt M., Shiau W.-L., Hair J.F., Ringle C.M., Fritze M.P.","35731712000;35957036000;6602670816;16230161100;23480356200;57202442567;","Methodological research on partial least squares structural equation modeling (PLS-SEM): An analysis based on social network approaches",2019,"Internet Research","29","3",,"407","429",,6,"10.1108/IntR-12-2017-0509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060594565&doi=10.1108%2fIntR-12-2017-0509&partnerID=40&md5=102677d0003e9a14117561ac323f2c6b","Waikato Management School, University of Waikato, Hamilton, New Zealand; Faculty of Economics and Management, Otto-von-Guericke-University Magdeburg, Magdeburg, Germany; School of Business and Global Asia, 21st Century (GA21) Research Platform, Monash University Malaysia, Subang Jaya, Malaysia; School of Management, Zhejiang University of Technology, Hangzhou, China; Faculty of Marketing and Quantitative Methods, University of South Alabama, Mobile, AL, United States; Department of Management Science and Technology, Hamburg University of Technology (TUHH), Hamburg, Germany; Faculty of Management, Economics and Social Sciences, University of Cologne, Cologne, Germany","Khan, G.F., Waikato Management School, University of Waikato, Hamilton, New Zealand; Sarstedt, M., Faculty of Economics and Management, Otto-von-Guericke-University Magdeburg, Magdeburg, Germany, School of Business and Global Asia, 21st Century (GA21) Research Platform, Monash University Malaysia, Subang Jaya, Malaysia; Shiau, W.-L., School of Management, Zhejiang University of Technology, Hangzhou, China; Hair, J.F., Faculty of Marketing and Quantitative Methods, University of South Alabama, Mobile, AL, United States; Ringle, C.M., Waikato Management School, University of Waikato, Hamilton, New Zealand, Department of Management Science and Technology, Hamburg University of Technology (TUHH), Hamburg, Germany; Fritze, M.P., Faculty of Management, Economics and Social Sciences, University of Cologne, Cologne, Germany",Article,"Final",,Scopus,2-s2.0-85060594565
"Emmanuel E., Lau C.C., Anggraini V., Pasbakhsh P.","57207694647;57207684481;35072537800;24482172900;","Stabilization of a soft marine clay using halloysite nanotubes: A multi-scale approach",2019,"Applied Clay Science","173",,,"65","78",,1,"10.1016/j.clay.2019.03.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062701572&doi=10.1016%2fj.clay.2019.03.014&partnerID=40&md5=bc8934e139cbbb56709360e698d417d6","Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Mechanical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia","Emmanuel, E., Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Lau, C.C., Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Anggraini, V., Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Pasbakhsh, P., Mechanical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia",Article,"Final",,Scopus,2-s2.0-85062701572
"Little V.J., Lee C.K.C., Nair S.","23477752600;57207257848;55815446300;","Macro-demarketing: The Key to Unlocking Unsustainable Production and Consumption Systems?",2019,"Journal of Macromarketing","39","2",,"166","187",,,"10.1177/0276146718823885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061183076&doi=10.1177%2f0276146718823885&partnerID=40&md5=193d9c6b5b07b13e9a2305271893b879","Monash University MalaysiaSelangor, Malaysia; Murdoch University, Singapore","Little, V.J., Monash University MalaysiaSelangor, Malaysia; Lee, C.K.C., Monash University MalaysiaSelangor, Malaysia; Nair, S., Murdoch University, Singapore",Article,"Final",,Scopus,2-s2.0-85061183076
"Low L.E., Wong S.K., Tang S.Y., Chew C.L., De Silva H.A., Lee J.M.V., Hoo C.H., Kenrick K.","57190969255;57206938061;54942550100;57206940116;57206936579;57206939588;57206936876;57206937200;","Production of highly uniform Pickering emulsions by novel high-intensity ultrasonic tubular reactor (HUTR)",2019,"Ultrasonics Sonochemistry","54",,,"121","128",,,"10.1016/j.ultsonch.2019.02.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062144995&doi=10.1016%2fj.ultsonch.2019.02.008&partnerID=40&md5=3394f9b509fdd2b394e2970075470bc5","Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia; Advanced Engineering Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia; Processing Technology, Sime Darby Research, R&D Centre – Carey Island, Lot 2664 Jalan Pulau Carey, 42960 Pulau CareySelangor, Malaysia","Low, L.E., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia, Advanced Engineering Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia; Wong, S.K., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia; Tang, S.Y., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia, Advanced Engineering Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia; Chew, C.L., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia, Processing Technology, Sime Darby Research, R&D Centre – Carey Island, Lot 2664 Jalan Pulau Carey, 42960 Pulau CareySelangor, Malaysia; De Silva, H.A., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia; Lee, J.M.V., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia; Hoo, C.H., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia; Kenrick, K., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang JayaSelangor, Malaysia",Article,"Final",,Scopus,2-s2.0-85062144995
"Ang B.H., Jennifer O., Chen W.S., Lee S.W.H.","57194243340;57207946296;57188973057;35201185800;","Factors and challenges of driving reduction and cessation: A systematic review and meta-synthesis of qualitative studies on self-regulation",2019,"Journal of Safety Research","69",,,"101","108",,2,"10.1016/j.jsr.2019.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063293583&doi=10.1016%2fj.jsr.2019.03.007&partnerID=40&md5=7720bf2a4e714e4421ac852f53cd99e4","School of Science, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia; Monash University Accident Research Centre (MUARC), Monash University, Melbourne, Australia; School of Health Sciences, Swinburne University of Technology, Melbourne, Australia; School of Pharmacy, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia; Gerontechnology Laboratory, Global Asia in the 21st Century (GA21) Platform, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia; School of Pharmacy, Taylor's University, Monash University Malaysia, Subang Jaya, Selangor, Malaysia","Ang, B.H., School of Science, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia; Jennifer, O., Monash University Accident Research Centre (MUARC), Monash University, Melbourne, Australia; Chen, W.S., School of Health Sciences, Swinburne University of Technology, Melbourne, Australia; Lee, S.W.H., School of Pharmacy, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia, Gerontechnology Laboratory, Global Asia in the 21st Century (GA21) Platform, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia, School of Pharmacy, Taylor's University, Monash University Malaysia, Subang Jaya, Selangor, Malaysia",Article,"Final",,Scopus,2-s2.0-85063293583
"Soon K.L., Lim J.M.-Y., Parthiban R.","57205191659;57205183668;8208030400;","Extended pheromone-based short-term traffic forecasting models for vehicular systems",2019,"Engineering Applications of Artificial Intelligence","82",,,"60","75",,1,"10.1016/j.engappai.2019.03.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063612829&doi=10.1016%2fj.engappai.2019.03.017&partnerID=40&md5=c10d7fe9beae2170617455d2ea9f7a4b","Electrical and Computer Systems Engineering, School of Engineering, Monash University, Malaysia","Soon, K.L., Electrical and Computer Systems Engineering, School of Engineering, Monash University, Malaysia; Lim, J.M.-Y., Electrical and Computer Systems Engineering, School of Engineering, Monash University, Malaysia; Parthiban, R., Electrical and Computer Systems Engineering, School of Engineering, Monash University, Malaysia",Article,"Final",,Scopus,2-s2.0-85063612829
